Strategy,Symbol,Timeframe,Trades,Total_Profit_Pct,Profit_Factor,Win_Rate_Pct,Sharpe_Ratio,Max_Drawdown_Pct,Composite_Score
RSI_30_70,BTC/USDT,1h,3,-3.64,0.42,33.3,-0.34,0.36,8.2
RSI_25_75,BTC/USDT,1h,2,-1.43,0.46,50.0,-0.28,0.00,11.0
RSI_35_65,BTC/USDT,1h,4,-5.37,0.46,50.0,-0.42,1.08,12.0
MACD_Standard,BTC/USDT,1h,4,8.19,3.18,50.0,0.76,0.55,43.3
Bollinger_Bands,BTC/USDT,1h,4,-15.68,0.19,25.0,-0.66,2.10,7.0
RSI_30_70,ETH/USDT,1h,3,-14.21,0.00,0.0,-2.46,1.23,1.5
RSI_25_75,ETH/USDT,1h,4,6.45,2.38,75.0,0.49,0.00,38.6
RSI_35_65,ETH/USDT,1h,3,-10.81,0.00,0.0,-1.46,0.81,1.5
MACD_Standard,ETH/USDT,1h,5,-0.14,0.95,60.0,-0.03,0.40,14.5
Bollinger_Bands,ETH/USDT,1h,3,-2.51,0.49,66.7,-0.23,0.74,14.8
RSI_30_70,ADA/USDT,1h,3,-18.69,0.00,0.0,-1.59,1.99,1.5
RSI_25_75,ADA/USDT,1h,3,-6.90,0.21,33.3,-0.33,1.22,8.2
RSI_35_65,ADA/USDT,1h,4,-18.45,0.07,25.0,-0.72,2.41,7.0
MACD_Standard,ADA/USDT,1h,3,8.22,51.47,66.7,1.75,0.02,51.0
Bollinger_Bands,ADA/USDT,1h,3,-13.50,0.00,0.0,-0.81,1.74,1.5
RSI_30_70,SOL/USDT,1h,4,-2.15,0.76,50.0,-0.15,0.52,12.0
RSI_25_75,SOL/USDT,1h,3,-8.32,0.00,0.0,-0.80,1.22,1.5
RSI_35_65,SOL/USDT,1h,3,-10.01,0.00,0.0,-2.44,1.12,1.5
MACD_Standard,SOL/USDT,1h,3,23.36,28.79,66.7,4.12,0.12,61.8
Bollinger_Bands,SOL/USDT,1h,4,-5.28,0.46,50.0,-0.35,1.47,12.0
RSI_30_70,MATIC/USDT,1h,4,-1.00,0.81,50.0,-0.11,0.79,12.0
RSI_25_75,MATIC/USDT,1h,4,-1.68,0.76,25.0,-0.11,0.47,7.0
RSI_35_65,MATIC/USDT,1h,5,-3.88,0.60,60.0,-0.26,1.00,14.5
MACD_Standard,MATIC/USDT,1h,4,-0.55,0.82,50.0,-0.11,0.30,12.0
Bollinger_Bands,MATIC/USDT,1h,2,-1.47,0.26,50.0,-0.39,0.00,11.0
RSI_30_70,DOT/USDT,1h,3,-6.09,0.30,33.3,-0.34,0.25,8.2
RSI_25_75,DOT/USDT,1h,3,-3.18,0.57,66.7,-0.18,1.12,14.8
RSI_35_65,DOT/USDT,1h,4,-12.20,0.17,25.0,-0.70,1.86,7.0
MACD_Standard,DOT/USDT,1h,2,11.46,inf,100.0,1.79,0.00,58.4
Bollinger_Bands,DOT/USDT,1h,3,-19.31,0.00,0.0,-3.44,1.81,1.5
RSI_30_70,LTC/USDT,1h,4,-12.55,0.27,25.0,-0.51,1.56,7.0
RSI_25_75,LTC/USDT,1h,3,-4.36,0.39,33.3,-0.30,1.07,8.2
RSI_35_65,LTC/USDT,1h,6,-8.34,0.35,66.7,-0.51,1.62,16.3
MACD_Standard,LTC/USDT,1h,3,7.93,9.61,66.7,1.22,0.00,48.3
Bollinger_Bands,LTC/USDT,1h,4,-9.40,0.21,50.0,-0.43,1.78,12.0
RSI_30_70,XRP/USDT,1h,4,-6.67,0.33,25.0,-0.49,1.04,7.0
RSI_25_75,XRP/USDT,1h,3,0.55,1.33,33.3,0.09,0.25,12.9
RSI_35_65,XRP/USDT,1h,4,-13.83,0.12,25.0,-0.84,1.67,7.0
MACD_Standard,XRP/USDT,1h,2,11.48,inf,100.0,1.72,0.00,58.0
Bollinger_Bands,XRP/USDT,1h,4,-15.02,0.25,25.0,-0.39,0.86,7.0
RSI_30_70,LINK/USDT,1h,4,-6.01,0.36,25.0,-0.44,0.98,7.0
RSI_25_75,LINK/USDT,1h,3,-6.26,0.18,33.3,-0.46,0.31,8.2
RSI_35_65,LINK/USDT,1h,3,-3.27,0.00,0.0,-1.12,0.43,1.5
MACD_Standard,LINK/USDT,1h,4,21.28,27.34,75.0,2.12,0.12,59.0
Bollinger_Bands,LINK/USDT,1h,4,-6.63,0.33,25.0,-0.41,1.40,7.0
RSI_30_70,AVAX/USDT,1h,3,-19.65,0.00,0.0,-0.78,1.11,1.5
RSI_25_75,AVAX/USDT,1h,2,-13.35,0.00,0.0,-4.86,1.08,1.0
RSI_35_65,AVAX/USDT,1h,4,-18.01,0.12,25.0,-0.63,1.34,7.0
MACD_Standard,AVAX/USDT,1h,4,-4.06,0.21,25.0,-0.98,0.62,7.0
Bollinger_Bands,AVAX/USDT,1h,3,-29.28,0.00,0.0,-0.64,2.71,1.5